"","df_factors","Latitude","Altitude","Rainfall","Frosts","Year","PMCno","DBH","Ht","Surv","Vig","Ins_res","Stem_Fm","Crown_Fm","Brnch_Fm","Utility"
"9","rd",-39.6333333333333,100,850,-2,1980,1524,7.62,6.59,80,2.5,2.5,3.3,3.5,3.5,"0"
"251","pu",-41.2,160,1000,-3,1981,1598,15.3,12.7,3,4,2.5,3,2,3,"0"
"146","sm",-39.8333333333333,70,1000,-2,1981,1340,8.8,6.3,100,2,2,1,2,2,"0"
"297","ov",-40.95,180,1080,-3,1982,1785,3.53,3.3,75,1.8,2,2.5,3,3,"0"
"530","nd",-41.2666666666667,300,1200,-3,1982,2569,17.03,10.42,100,3,3,4,4,3,"1"
"236","ag",-41.2,160,1000,-3,1981,1094,7.3,6.8,2.5,3.5,3.5,3.5,3.5,1.5,"0"
"559","nd",-41.2666666666667,300,1200,-3,1982,2569,13.73,7.6,75,2.5,2,3,3,3,"0"
"331","am",-40.6,150,1250,-3,1983,2560,20.24,14.6,63,3,3.5,3,3.7,2.5,"1"
"6","ob",-39.6333333333333,100,850,-2,1980,1522,17.01,12.28,70,5,4,5,4,4.5,"1"
"667","am",-39.7166666666667,150,900,-2,1986,2770,20.85,9.52,51.2258172893565,2.81179109527276,2.68649936431942,2.76103166077644,3.11028122094025,2.6584158212603,"0"
"333","cr",-40.6,150,1250,-3,1983,1252,17.36,15.64,50,3.5,3.5,2.5,2.5,2.5,"0"
"522","el",-41.2666666666667,300,1200,-3,1982,2638,5.25,3.5,50,2,3,3,3,4,"0"
"695","nd",-39.7166666666667,150,900,-2,1986,3068,32.15,14.64,49.0369985922813,2.78516373310512,2.6719421735523,2.74396995716701,3.13675701870355,2.6480568093959,"0"
"448","ob",-41.1333333333333,220,1050,-2,1983,1522,15.73,7.8,88,3.5,2.8,3,3.5,3.5,"1"
"392","fa",-40.95,180,1080,-3,1983,2548,2.95,4.43,13,1,2,3,3,3,"0"
"698","pu",-39.7166666666667,150,900,-2,1986,2573,27.66,11.83,52.6753469587905,2.8295122016129,2.696233357025,2.77242488448554,3.0928966322017,2.66537239940283,"0"
"594","re",-40,150,1300,-2,1983,2553,27.44,11.32,20,3.5,3,3.3,4,2.9,"1"
"724","te",-39.7166666666667,150,900,-2,1986,3275,17.35,6.51,47.5122426902353,2.76646736253359,2.66164343106075,2.73192547024093,3.15494907382178,2.6406778386271,"0"
"59","ob",-40.1833333333333,130,1000,-3,1980,1522,21.6,12,40,4,3.7,3.5,3.5,3,"1"
"312","nd",-40.95,180,1080,-3,1982,2635,5.86,4.36,75,3,3,3,4,3,"0"
"416","pu",-40.95,180,1080,-3,1983,2573,1.48,2.96,13,1,3,3,3,3,"0"
"475","cr",-41.1333333333333,220,1050,-2,1983,1252,10.36,7.54,100,2.7,3,2,2,2,"0"
"335","nd",-40.6,150,1250,-3,1983,1596,15.02,9.92,100,3.5,4,2.7,4,2.5,"1"
"579","fa",-40,150,1300,-2,1983,2548,35.54,13.02,20,3.2,3.5,2.5,2.5,2.3,"1"
"700","ra",-39.7166666666667,150,900,-2,1986,1825,17.5,7.99,58.1728732389636,2.89650779573689,2.73292143594605,2.81540425257295,3.02659871823806,2.69151991933562,"0"
"649","fa",-40.95,180,1080,-3,1981,2548,13.04,9.36,55,4,4,3,2.5,2,"1"
"55","co",-40.1833333333333,130,1000,-3,1980,1520,10.1,8.2,60,3,4,3.5,3.5,3.2,"0"
"182","pu",-40.95,180,1080,-3,1981,1598,7.94,7.77,100,3.5,4,2.5,4,3.3,"1"
"370","am",-40.6,150,1250,-3,1983,2560,18.59,8.26,13,2.5,3.5,2,2,2,"0"
"61","pu",-40.1833333333333,130,1000,-3,1980,1523,12.7,9.3,80,2.9,4,3.2,3.9,3.4,"1"
"352","cr",-40.6,150,1250,-3,1983,1252,15.35,11.87,75,2.9,2.7,2.5,3,2.5,"0"
"430","ni",-40.95,180,1080,-3,1983,2568,9.13,7.02,13,2.8,2.5,3,3,2.5,"0"
"606","nd",-40,150,1300,-2,1983,2635,32.5,14.57,10,2.7,3,3,4,3,"1"
"589","ob",-40,150,1300,-2,1983,1522,33.16,14.75,40,3.7,3.5,3.6,3.6,2.9,"1"
"137","ob",-39.8333333333333,70,1000,-2,1981,2459,23.7,13.3,88,5,3,3.5,3.5,2.5,"1"
"340","ob",-40.6,150,1250,-3,1983,2570,17.59,12.2,50,3,2.7,3,3.5,2.7,"0"
"624","nd",-40,150,1300,-2,1983,2635,30.75,14.57,20,3.8,4,3.5,4,2.9,"1"
"426","fa",-40.95,180,1080,-3,1983,2548,16.25,13.29,13,3,4,4,3.5,3,"0"
"66","ni",-40.1833333333333,130,1000,-3,1980,2088,19.1,9.7,60,3.7,3,2,2,1.5,"1"
"101","br",-39.8333333333333,70,1000,-2,1981,1112,11.9,9.7,100,2.3,1.8,3,3.5,3.2,"0"
"310","nd",-40.95,180,1080,-3,1982,2569,19.44,15.38,75,4.5,3.5,3.5,4,3,"1"
"206","re",-40.95,180,1080,-3,1981,2428,5.16,5.86,75,4,3,4,4,4,"1"
"396","ov",-40.95,180,1080,-3,1983,1788,5.35,5.9,25,2,1.8,2,2.5,3,"0"
"223","ka",-41.2,160,1000,-3,1981,1171,8.6,8.9,100,3,2.5,2.8,3,2.8,"0"
"648","fa",-40.95,180,1080,-3,1981,2426,17.42,9.01,45,4.5,4.5,3,2,1.5,"1"
"603","ni",-40,150,1300,-2,1983,2568,52.76,21,50,4.5,2.7,3.9,3.4,2.6,"1"
"496","el",-41.2666666666667,300,1200,-3,1982,2638,1.27,1.74,50,1,3,2,3,3,"0"
"191","bxs",-40.95,180,1080,-3,1981,1111,4.88,4.11,88,3.5,2.5,2,2,2,"0"
"153","fr",-40.95,180,1080,-3,1981,1786,6.05,5.39,88,4,4,3.5,3.5,3.5,"1"
"17","ov",-39.6333333333333,100,850,-2,1980,1521,10.22,8.32,100,3,1.8,3,3,3,"0"
"473","am",-41.1333333333333,220,1050,-2,1983,2560,21.27,9.13,88,3.3,3.5,2.5,3.3,3,"1"
"523","fa",-41.2666666666667,300,1200,-3,1982,2426,16.69,9.48,50,4,3,4,4,3,"1"
"263","br",-41.2,160,1000,-3,1981,1112,4,3.2,63,2,1.5,3,3,3,"0"
"596","am",-40,150,1300,-2,1983,1592,34.11,16.48,20,3.5,3.8,3.2,3.9,2.5,"1"
"415","pa",-40.95,180,1080,-3,1983,2750,1.38,1.53,13,1,1,3,3,3,"0"
"665","am",-39.7166666666667,150,900,-2,1986,3268,18.01,3.26,47.5634594914072,2.76708428783574,2.66197748223092,2.73231808060248,3.15431910177626,2.64091345867182,"0"
"276","pu",-41.2,160,1000,-3,1981,1598,13.6,7.3,38,3,3,2,2.5,2,"0"
"625","ob",-40,150,1300,-2,1983,2570,35.4,14.05,10,3,3,3.3,3.5,3,"1"
"272","ka",-41.2,160,1000,-3,1981,1171,3.5,2.9,75,1,1,3,3,3,"0"
"364","re",-40.6,150,1250,-3,1983,2553,23.53,21.06,50,4.5,3.5,3.3,3.2,2.8,"1"
"207","re",-40.95,180,1080,-3,1981,2431,3.35,5.16,100,3,3,4.5,4,4,"1"
"720","ra",-39.7166666666667,150,900,-2,1986,1257,21.27,9.72,62.3495301362295,2.94747702298781,2.76087007416038,2.84813310830079,2.97634993463869,2.71146279514604,"0"
"308","ka",-40.95,180,1080,-3,1982,1171,6.97,8.95,75,2,2,3,3,3,"0"
"97","sm",-39.8333333333333,70,1000,-2,1981,1340,9.3,4.3,63,1,1.2,1,1,1,"0"
"493","bxs",-41.2666666666667,300,1200,-3,1982,1111,10.99,7.2,100,2,3,3,3,3,"0"
"36","rd",-39,200,1400,-2,1980,1524,12.79,8.82,68.6615225963801,2.5,3,3.3,4,4,"0"
"529","nd",-41.2666666666667,300,1200,-3,1982,1595,15.69,8.95,100,3,3,4,4,3,"1"
"249","ob",-41.2,160,1000,-3,1981,1337,17.1,12.1,5,3,3.5,3,3,4,"0"
"52","ov",-39,200,1400,-2,1980,1521,9.99,7.49,68.682974666663,2,2,3,4,4,"0"
"658","re",-40.95,180,1080,-3,1981,2550,15.37,10.82,13,3,2.7,3.5,3.5,3,"0"
"47","fr",-39,200,1400,-2,1980,1487,3.072,9.93,68.9321224835739,3,4,2,2,1,"1"
"675","pu",-39.7166666666667,150,900,-2,1986,3272,26.63,11.4,47.5360854610046,2.76681888569424,2.66186788904601,2.73217765694151,3.15476543503282,2.64085853671969,"0"
"67","ob",-40.1833333333333,130,1000,-3,1980,1522,15.5,9.8,40,4,3.5,3.5,3.5,3,"1"
"694","nd",-39.7166666666667,150,900,-2,1986,1596,32.88,14.98,59.8593351878507,2.91717552726675,2.74430011663851,2.82871373706258,3.00645779941841,2.69966880825557,"0"
"380","ov",-40.6,150,1250,-3,1983,2571,22.03,19.34,50,4,2.5,3.3,3.3,3,"1"
"195","el",-40.95,180,1080,-3,1981,1338,7.28,7.45,63,4,3,3.3,3.3,3,"1"
"476","fa",-41.1333333333333,220,1050,-2,1983,1482,22.38,8.74,100,3.7,3,3.2,3.3,2.6,"1"
"569","re",-41.2666666666667,300,1200,-3,1982,1352,17.95,13.09,75,4,3,4,3.5,3,"1"
"351","co",-40.6,150,1250,-3,1983,2562,18.81,19.09,75,3,3,3.5,4,3,"1"
"202","ka",-40.95,180,1080,-3,1981,1171,13.661637214267,8.56682755501479,65.9036775017963,2.5,2,1,1,1,"0"
"107","fr",-39.8333333333333,70,1000,-2,1981,1786,17,15.3,75,4.7,4,3.5,4,4,"1"
"516","rd",-41.2666666666667,300,1200,-3,1982,2575,9.84,5.67,100,1.5,1.5,2,2,2,"0"
"362","pu",-40.6,150,1250,-3,1983,2573,23.29,17.74,75,3,3,3,3.5,2.5,"1"
"30","si",-39.6333333333333,100,850,-2,1980,1525,14.75,7.79,30,4,4,4,2.5,2,"1"
"267","fa",-41.2,160,1000,-3,1981,1482,7.8,5.6,88,3,3,2,2,2,"1"
"528","ka",-41.2666666666667,300,1200,-3,1982,2631,5.75,4.6,25,2,2,3,3,3,"0"
"519","bxs",-41.2666666666667,300,1200,-3,1982,1111,18.99,10.73,75,3,3,3.5,3,3,"1"
"13","ma",-39.6333333333333,100,850,-2,1980,1362,8.99,6.05,60,2.5,3,3,4,4,"0"
"432","ob",-40.95,180,1080,-3,1983,2458,2.11,3.1,38,1.3,3,3,3,3,"0"
"319","bxs",-40.95,180,1080,-3,1982,1111,9.65,6.24,25,2.8,3,3,3,2.5,"0"
"82","fa",-39.8333333333333,70,1000,-2,1981,1482,15.5,10.5,50,3,3.3,3.3,3,3,"1"
"360","ov",-40.6,150,1250,-3,1983,2571,19.67,20.14,50,3,2,3.3,3.7,4,"1"
"699","ra",-39.7166666666667,150,900,-2,1986,1257,26.18,11.96,62.3504393707148,2.947519060757,2.76090932280346,2.84817362261628,2.97639172805021,2.7115012929965,"0"
"211","nc",-40.95,180,1080,-3,1981,1780,3.51,4.68,25,1.5,1.5,2,2,3,"0"
"676","pu",-39.7166666666667,150,900,-2,1986,3273,10.1,4.32,47.5257206589413,2.76658983300353,2.66168859769884,2.73198575700727,3.15471533453798,2.64069582413716,"0"
"118","re",-39.8333333333333,70,1000,-2,1981,2431,26,14,88,5,3.5,3.5,4,3.3,"1"
"495","br",-41.2666666666667,300,1200,-3,1982,2621,7.64,6.72,100,3.5,2,2,2,2,"0"
"98","re",-39.8333333333333,70,1000,-2,1981,2428,22.6,13.4,100,5,3,2.3,2.7,2,"1"
"26","ob",-39.6333333333333,100,850,-2,1980,1522,16.13,9.95,50,4.3,4.5,3.3,3.5,3,"1"
